id	time	property	value1	value2
Part.7	99.8655	place	enter	B4_1
Part.8	99.8655	place	enter	M4_1
Part.8	99.8655	place	exit	B2_1
Component.8	99.8655	place	exit	M2_1
Component.20	99.8655	place	enter	M2_1
Part.12	99.8655	place	exit	B1_1
Part.12	99.8655	place	enter	B2_1
Part.17	99.8655	place	exit	M1_1
Part.17	99.8655	place	enter	B1_1
Part.18	99.8655	place	enter	M1_1
Part.7	103.8655	place	exit	B4_1
Part.7	103.8655	place	enter	M5_1
Part.4	108.8655	place	exit	M5_1
Part.8	109.8655	place	exit	M4_1
Part.8	109.8655	place	enter	B4_1
Part.9	109.8655	place	enter	M4_1
Part.9	109.8655	place	exit	B2_1
Component.9	109.8655	place	exit	M2_1
Component.21	109.8655	place	enter	M2_1
Part.13	109.8655	place	exit	B1_1
Part.13	109.8655	place	enter	B2_1
Part.18	109.8655	place	exit	M1_1
Part.18	109.8655	place	enter	B1_1
Part.19	109.8655	place	enter	M1_1
Part.8	114.8655	place	exit	B4_1
Part.8	114.8655	place	enter	M5_1
Part.9	119.8655	place	exit	M4_1
Part.9	119.8655	place	enter	B4_1
Part.10	119.8655	place	enter	M4_1
Part.10	119.8655	place	exit	B2_1
Component.10	119.8655	place	exit	M2_1
Component.22	119.8655	place	enter	M2_1
Part.14	119.8655	place	exit	B1_1
Part.14	119.8655	place	enter	B2_1
Part.19	119.8655	place	exit	M1_1
Part.19	119.8655	place	enter	B1_1
Part.20	119.8655	place	enter	M1_1
Part.5	121.8655	place	exit	M5_1
Part.9	125.8655	place	exit	B4_1
Part.9	125.8655	place	enter	M5_1
Part.10	129.8655	place	exit	M4_1
Part.10	129.8655	place	enter	B4_1
Part.11	129.8655	place	enter	M4_1
Part.11	129.8655	place	exit	B2_1
Component.11	129.8655	place	exit	M2_1
Component.23	129.8655	place	enter	M2_1
Part.15	129.8655	place	exit	B1_1
Part.15	129.8655	place	enter	B2_1
Part.20	129.8655	place	exit	M1_1
Part.20	129.8655	place	enter	B1_1
Part.21	129.8655	place	enter	M1_1
Part.6	134.8655	place	exit	M5_1
Part.10	136.8655	place	exit	B4_1
Part.10	136.8655	place	enter	M5_1
Part.11	139.8655	place	exit	M4_1
Part.11	139.8655	place	enter	B4_1
Part.12	139.8655	place	enter	M4_1
Part.12	139.8655	place	exit	B2_1
Component.12	139.8655	place	exit	M2_1
Component.24	139.8655	place	enter	M2_1
Part.16	139.8655	place	exit	B1_1
Part.16	139.8655	place	enter	B2_1
Part.21	139.8655	place	exit	M1_1
Part.21	139.8655	place	enter	B1_1
Part.22	139.8655	place	enter	M1_1
Part.7	147.8655	place	exit	M5_1
Part.11	147.8655	place	exit	B4_1
Part.11	147.8655	place	enter	M5_1
Part.12	149.8655	place	exit	M4_1
Part.12	149.8655	place	enter	B4_1
Part.13	149.8655	place	enter	M4_1
Part.13	149.8655	place	exit	B2_1
Component.13	149.8655	place	exit	M2_1
Component.25	149.8655	place	enter	M2_1
Part.17	149.8655	place	exit	B1_1
Part.17	149.8655	place	enter	B2_1
Part.22	149.8655	place	exit	M1_1
Part.22	149.8655	place	enter	B1_1
Part.23	149.8655	place	enter	M1_1
Part.12	158.8655	place	exit	B4_1
Part.12	158.8655	place	enter	M5_1
Part.13	159.8655	place	exit	M4_1
Part.13	159.8655	place	enter	B4_1
Part.14	159.8655	place	enter	M4_1
Part.14	159.8655	place	exit	B2_1
Component.14	159.8655	place	exit	M2_1
Component.26	159.8655	place	enter	M2_1
Part.18	159.8655	place	exit	B1_1
Part.18	159.8655	place	enter	B2_1
Part.23	159.8655	place	exit	M1_1
Part.23	159.8655	place	enter	B1_1
Part.24	159.8655	place	enter	M1_1
Part.8	160.8655	place	exit	M5_1
Part.13	169.8655	place	exit	B4_1
Part.13	169.8655	place	enter	M5_1
Part.14	169.8655	place	exit	M4_1
Part.14	169.8655	place	enter	B4_1
Part.15	169.8655	place	enter	M4_1
Part.15	169.8655	place	exit	B2_1
Component.15	169.8655	place	exit	M2_1
Component.27	169.8655	place	enter	M2_1
Part.19	169.8655	place	exit	B1_1
Part.19	169.8655	place	enter	B2_1
Part.24	169.8655	place	exit	M1_1
Part.24	169.8655	place	enter	B1_1
Part.25	169.8655	place	enter	M1_1
Part.9	173.8655	place	exit	M5_1
Part.15	179.8655	place	exit	M4_1
Part.15	179.8655	place	enter	B4_1
Part.16	179.8655	place	enter	M4_1
Part.16	179.8655	place	exit	B2_1
Component.16	179.8655	place	exit	M2_1
Component.28	179.8655	place	enter	M2_1
Part.20	179.8655	place	exit	B1_1
Part.20	179.8655	place	enter	B2_1
Part.25	179.8655	place	exit	M1_1
Part.25	179.8655	place	enter	B1_1
Part.26	179.8655	place	enter	M1_1
Part.14	180.8655	place	exit	B4_1
Part.14	180.8655	place	enter	M5_1
Part.16	189.8655	place	exit	M4_1
Part.16	189.8655	place	enter	B4_1
Part.17	189.8655	place	enter	M4_1
Part.17	189.8655	place	exit	B2_1
Component.17	189.8655	place	exit	M2_1
Component.29	189.8655	place	enter	M2_1
Part.21	189.8655	place	exit	B1_1
Part.21	189.8655	place	enter	B2_1
Part.26	189.8655	place	exit	M1_1
Part.26	189.8655	place	enter	B1_1
Part.27	189.8655	place	enter	M1_1
Part.15	191.8655	place	exit	B4_1
Part.15	191.8655	place	enter	M5_1
Part.10	197.1482	place	exit	M5_1
Part.17	199.8655	place	exit	M4_1
Part.17	199.8655	place	enter	B4_1
Part.18	199.8655	place	enter	M4_1
Part.18	199.8655	place	exit	B2_1
Component.18	199.8655	place	exit	M2_1
Component.30	199.8655	place	enter	M2_1
Part.22	199.8655	place	exit	B1_1
Part.22	199.8655	place	enter	B2_1
Part.27	199.8655	place	exit	M1_1
Part.27	199.8655	place	enter	B1_1
Part.28	199.8655	place	enter	M1_1
Part.16	202.8655	place	exit	B4_1
Part.16	202.8655	place	enter	M5_1
Part.17	213.8655	place	exit	B4_1
Part.17	213.8655	place	enter	M5_1
Part.18	214.4862	place	exit	M4_1
Part.18	214.4862	place	enter	B4_1
Part.19	214.4862	place	enter	M4_1
Part.19	214.4862	place	exit	B2_1
Component.19	214.4862	place	exit	M2_1
Component.31	214.4862	place	enter	M2_1
Part.23	214.4862	place	exit	B1_1
Part.23	214.4862	place	enter	B2_1
Part.28	214.4862	place	exit	M1_1
Part.28	214.4862	place	enter	B1_1
Part.29	214.4862	place	enter	M1_1
Part.19	224.4862	place	exit	M4_1
Part.19	224.4862	place	enter	B4_1
Part.20	224.4862	place	enter	M4_1
Part.20	224.4862	place	exit	B2_1
Component.20	224.4862	place	exit	M2_1
Component.32	224.4862	place	enter	M2_1
Part.24	224.4862	place	exit	B1_1
Part.24	224.4862	place	enter	B2_1
Part.29	224.4862	place	exit	M1_1
Part.29	224.4862	place	enter	B1_1
Part.30	224.4862	place	enter	M1_1
Part.18	224.8655	place	exit	B4_1
Part.18	224.8655	place	enter	M5_1
Part.20	234.4862	place	exit	M4_1
Part.20	234.4862	place	enter	B4_1
Part.21	234.4862	place	enter	M4_1
Part.21	234.4862	place	exit	B2_1
Component.21	234.4862	place	exit	M2_1
Component.33	234.4862	place	enter	M2_1
Part.25	234.4862	place	exit	B1_1
Part.25	234.4862	place	enter	B2_1
Part.30	234.4862	place	exit	M1_1
Part.30	234.4862	place	enter	B1_1
Part.31	234.4862	place	enter	M1_1
Part.19	235.8655	place	exit	B4_1
Part.19	235.8655	place	enter	M5_1
Part.11	241.7872	place	exit	M5_1
Part.21	244.4862	place	exit	M4_1
Part.21	244.4862	place	enter	B4_1
Part.22	244.4862	place	enter	M4_1
Part.22	244.4862	place	exit	B2_1
Component.22	244.4862	place	exit	M2_1
Component.34	244.4862	place	enter	M2_1
Part.26	244.4862	place	exit	B1_1
Part.26	244.4862	place	enter	B2_1
Part.31	244.4862	place	exit	M1_1
Part.31	244.4862	place	enter	B1_1
Part.32	244.4862	place	enter	M1_1
Part.20	246.8655	place	exit	B4_1
Part.20	246.8655	place	enter	M5_1
Part.22	254.4862	place	exit	M4_1
Part.22	254.4862	place	enter	B4_1
Part.23	254.4862	place	enter	M4_1
Part.23	254.4862	place	exit	B2_1
Component.23	254.4862	place	exit	M2_1
Component.35	254.4862	place	enter	M2_1
Part.27	254.4862	place	exit	B1_1
Part.27	254.4862	place	enter	B2_1
Part.32	254.4862	place	exit	M1_1
Part.32	254.4862	place	enter	B1_1
Part.33	254.4862	place	enter	M1_1
Part.12	254.7872	place	exit	M5_1
Part.21	257.8655	place	exit	B4_1
Part.21	257.8655	place	enter	M5_1
Part.23	266.92	place	exit	M4_1
Part.23	266.92	place	enter	B4_1
Part.24	266.92	place	enter	M4_1
Part.24	266.92	place	exit	B2_1
Component.24	266.92	place	exit	M2_1
Component.36	266.92	place	enter	M2_1
Part.28	266.92	place	exit	B1_1
Part.28	266.92	place	enter	B2_1
Part.33	266.92	place	exit	M1_1
Part.33	266.92	place	enter	B1_1
Part.34	266.92	place	enter	M1_1
Part.13	267.7872	place	exit	M5_1
Part.22	268.8655	place	exit	B4_1
Part.22	268.8655	place	enter	M5_1
Part.24	276.92	place	exit	M4_1
Part.24	276.92	place	enter	B4_1
Part.25	276.92	place	enter	M4_1
Part.25	276.92	place	exit	B2_1
Component.25	276.92	place	exit	M2_1
Component.37	276.92	place	enter	M2_1
Part.29	276.92	place	exit	B1_1
Part.29	276.92	place	enter	B2_1
Part.34	276.92	place	exit	M1_1
Part.34	276.92	place	enter	B1_1
Part.35	276.92	place	enter	M1_1
Part.23	279.8655	place	exit	B4_1
Part.23	279.8655	place	enter	M5_1
Part.14	280.7872	place	exit	M5_1
Part.25	286.92	place	exit	M4_1
Part.25	286.92	place	enter	B4_1
Part.26	286.92	place	enter	M4_1
Part.26	286.92	place	exit	B2_1
Component.26	286.92	place	exit	M2_1
Component.38	286.92	place	enter	M2_1
Part.30	286.92	place	exit	B1_1
Part.30	286.92	place	enter	B2_1
Part.35	286.92	place	exit	M1_1
Part.35	286.92	place	enter	B1_1
Part.36	286.92	place	enter	M1_1
Part.24	291.8477	place	exit	B4_1
Part.24	291.8477	place	enter	M5_1
Part.15	293.7872	place	exit	M5_1
Part.26	296.92	place	exit	M4_1
Part.26	296.92	place	enter	B4_1
Part.27	296.92	place	enter	M4_1
Part.27	296.92	place	exit	B2_1
Component.27	296.92	place	exit	M2_1
Component.39	296.92	place	enter	M2_1
Part.31	296.92	place	exit	B1_1
Part.31	296.92	place	enter	B2_1
Part.36	296.92	place	exit	M1_1
Part.36	296.92	place	enter	B1_1
Part.37	296.92	place	enter	M1_1
Part.25	303.8477	place	exit	B4_1
Part.25	303.8477	place	enter	M5_1
Part.16	306.7872	place	exit	M5_1
Part.27	306.92	place	exit	M4_1
Part.27	306.92	place	enter	B4_1
Part.28	306.92	place	enter	M4_1
Part.28	306.92	place	exit	B2_1
Component.28	306.92	place	exit	M2_1
Component.40	306.92	place	enter	M2_1
Part.32	306.92	place	exit	B1_1
