id	time	property	value1	value2
Component.13	64.064	place	exit	M3
Component.15	64.064	place	enter	M2
Component.13	64.064	place	enter	B3
Part.13	64.4451	place	enter	M1
Part.12	64.45	place	enter	B1
Part.12	64.45	place	exit	M1
Part.2	66.53399999999999	place	exit	M7
Component.15	67.06	place	exit	M2
Component.15	67.06	place	enter	M3
Component.14	67.064	place	enter	B3
Component.14	67.064	place	exit	M3
Component.16	67.064	place	enter	M2
Part.14	69.4451	place	enter	M1
Part.13	69.45	place	exit	M1
Part.13	69.45	place	enter	B1
Part.5	69.8655	place	exit	B2
Component.5	69.8655	place	exit	B3
Part.4	69.8655	place	enter	B4
Part.5	69.8655	place	enter	M4
Part.4	69.8655	place	exit	M4
Part.9	69.8655	place	enter	B2
Part.9	69.8655	place	exit	B1
Component.16	70.06	place	exit	M2
Component.16	70.06	place	enter	M3
Component.15	70.064	place	exit	M3
Component.15	70.064	place	enter	B3
Part.3	70.8655	place	exit	B5
Part.4	70.8655	place	enter	M5
Part.3	70.8655	place	enter	M6
Part.4	70.8655	place	exit	B4
Part.3	70.87	place	enter	B5
Part.3	70.87	place	exit	M5
Component.17	73.0153	place	enter	M2
Part.15	74.4451	place	enter	M1
Part.14	74.45	place	exit	M1
Part.14	74.45	place	enter	B1
Part.10	79.8655	place	exit	B1
Part.6	79.8655	place	exit	B2
Part.6	79.8655	place	enter	M4
Part.16	79.8655	place	enter	M1
Part.5	79.8655	place	enter	B4
Component.16	79.8655	place	exit	M3
Component.16	79.8655	place	enter	B3
Part.10	79.8655	place	enter	B2
Part.5	79.8655	place	exit	M4
Component.18	79.8655	place	enter	M2
Component.6	79.8655	place	exit	B3
Component.17	79.87	place	enter	M3
Component.17	79.87	place	exit	M2
Part.15	79.87	place	enter	B1
Part.15	79.87	place	exit	M1
Part.5	81.8655	place	enter	M5
Part.5	81.8655	place	exit	B4
Part.4	81.87	place	enter	B5
Part.4	81.87	place	exit	M5
Part.4	82.8655	place	enter	M6
Part.4	82.8655	place	exit	B5
Part.3	82.87	place	exit	B6
Part.3	82.87	place	enter	M7
Part.3	82.87	place	exit	M6
Part.3	82.87	place	enter	B6
Part.11	89.8655	place	exit	B1
Part.11	89.8655	place	enter	B2
Component.19	89.8655	place	enter	M2
Component.17	89.8655	place	enter	B3
Component.7	89.8655	place	exit	B3
Part.7	89.8655	place	exit	B2
Part.6	89.8655	place	enter	B4
Part.17	89.8655	place	enter	M1
Component.17	89.8655	place	exit	M3
Part.6	89.8655	place	exit	M4
Part.7	89.8655	place	enter	M4
Part.16	89.87	place	enter	B1
Component.18	89.87	place	enter	M3
Part.16	89.87	place	exit	M1
Component.18	89.87	place	exit	M2
Part.6	92.8655	place	enter	M5
Part.6	92.8655	place	exit	B4
Part.5	92.87	place	enter	B5
Part.5	92.87	place	exit	M5
Part.5	94.8655	place	exit	B5
Part.5	94.8655	place	enter	M6
Part.4	94.87	place	enter	B6
Part.4	94.87	place	exit	M6
Part.3	95.8655	place	exit	M7
Part.4	95.87	place	enter	M7
Part.4	95.87	place	exit	B6
Component.8	99.8655	place	exit	B3
Component.20	99.8655	place	enter	M2
Component.18	99.8655	place	enter	B3
Part.12	99.8655	place	enter	B2
Part.8	99.8655	place	exit	B2
Part.18	99.8655	place	enter	M1
Part.7	99.8655	place	exit	M4
Part.12	99.8655	place	exit	B1
Component.18	99.8655	place	exit	M3
Part.8	99.8655	place	enter	M4
Part.7	99.8655	place	enter	B4
Component.19	99.87	place	exit	M2
Component.19	99.87	place	enter	M3
Part.17	99.87	place	exit	M1
Part.17	99.87	place	enter	B1
Part.7	103.8655	place	exit	B4
Part.7	103.8655	place	enter	M5
Part.6	103.87	place	exit	M5
Part.6	103.87	place	enter	B5
Part.6	106.8655	place	exit	B5
Part.6	106.8655	place	enter	M6
Part.5	106.87	place	exit	M6
Part.5	106.87	place	enter	B6
Part.4	108.8655	place	exit	M7
Part.5	108.87	place	exit	B6
Part.5	108.87	place	enter	M7
Part.9	109.8655	place	enter	M4
Component.19	109.8655	place	exit	M3
Part.8	109.8655	place	exit	M4
Part.19	109.8655	place	enter	M1
Component.9	109.8655	place	exit	B3
Component.19	109.8655	place	enter	B3
Part.13	109.8655	place	enter	B2
Part.13	109.8655	place	exit	B1
Component.21	109.8655	place	enter	M2
Part.9	109.8655	place	exit	B2
Part.8	109.8655	place	enter	B4
Component.20	109.87	place	enter	M3
Component.20	109.87	place	exit	M2
Part.18	109.87	place	exit	M1
Part.18	109.87	place	enter	B1
Part.8	114.8655	place	exit	B4
Part.8	114.8655	place	enter	M5
Part.7	114.87	place	exit	M5
